Restriction list
Note: Group entries are split in different rows.
Export date: 26-Mar-2025 20:14:16
Last updated 12-Nov-2024. Database contains 74 unique substances/entries.

"Substance Identifier"	""	
"Entry no."	""	



"Substance name"	"Description"	"EC No."	"CAS No."	"Entry no."	"Conditions"	"Appendices"	"Standards"	"History"	"Q&As"	"Remarks"	"First published"	
"Trinickel dicitrate"	""	"227-873-2"	"6018-92-4"	"27"	"https://echa.europa.eu/documents/10162/3bbe9024-52a6-8e63-5581-e686331eb459"	""	"<a href=""https://standards.cencenelec.eu/dyn/www/f?p=CEN:110:0::::FSP_PROJECT,FSP_ORG_ID:65837,413439&cs=11CE3B335EC0E7D1F395E7774F8D5B9AD"">EN 1811:2023</a>""<a href=""https://standards.cen.eu/dyn/www/f?p=204:110:0::::FSP_PROJECT,FSP_ORG_ID:65833,413439&cs=1AC0C9913499251FF8308468E90169473"">EN 12472:2020</a>""<a href=""https://standards.cen.eu/dyn/www/f?p=204:110:0::::FSP_PROJECT,FSP_ORG_ID:35087,6151&cs=190FF52D3B7C2630A24DBFA86AD81474D"">EN 16128:2015</a>"	"<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.1994.188.01.0001.01.ENG&toc=OJ:L:1994:188:TOC"">D 94/27/EC</a>""<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2004.301.01.0051.01.ENG&toc=OJ:L:2004:301:TOC"">D 2004/96/EC</a>""<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2009.164.01.0007.01.ENG&toc=OJ:L:2009:164:TOC"">R 552/2009</a>"	"<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/663"">entry 663</a>""<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/935"">entry 935</a>""<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/1911"">entry 1911</a>"	"Titles and references of standards to be used:  https://ec.europa.eu/docsroom/documents/45591"	"13-Jan-2016"	
"Nickel(II) fumarate"	""	"228-501-1"	"6283-67-6"	"27"	"https://echa.europa.eu/documents/10162/3bbe9024-52a6-8e63-5581-e686331eb459"	""	"<a href=""https://standards.cencenelec.eu/dyn/www/f?p=CEN:110:0::::FSP_PROJECT,FSP_ORG_ID:65837,413439&cs=11CE3B335EC0E7D1F395E7774F8D5B9AD"">EN 1811:2023</a>""<a href=""https://standards.cen.eu/dyn/www/f?p=204:110:0::::FSP_PROJECT,FSP_ORG_ID:65833,413439&cs=1AC0C9913499251FF8308468E90169473"">EN 12472:2020</a>""<a href=""https://standards.cen.eu/dyn/www/f?p=204:110:0::::FSP_PROJECT,FSP_ORG_ID:35087,6151&cs=190FF52D3B7C2630A24DBFA86AD81474D"">EN 16128:2015</a>"	"<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.1994.188.01.0001.01.ENG&toc=OJ:L:1994:188:TOC"">D 94/27/EC</a>""<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2004.301.01.0051.01.ENG&toc=OJ:L:2004:301:TOC"">D 2004/96/EC</a>""<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2009.164.01.0007.01.ENG&toc=OJ:L:2009:164:TOC"">R 552/2009</a>"	"<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/663"">entry 663</a>""<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/935"">entry 935</a>""<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/1911"">entry 1911</a>"	"Titles and references of standards to be used:  https://ec.europa.eu/docsroom/documents/45591"	"13-Jan-2016"	
"Nickel(2+) octanoate"	""	"225-656-7"	"4995-91-9"	"27"	"https://echa.europa.eu/documents/10162/3bbe9024-52a6-8e63-5581-e686331eb459"	""	"<a href=""https://standards.cencenelec.eu/dyn/www/f?p=CEN:110:0::::FSP_PROJECT,FSP_ORG_ID:65837,413439&cs=11CE3B335EC0E7D1F395E7774F8D5B9AD"">EN 1811:2023</a>""<a href=""https://standards.cen.eu/dyn/www/f?p=204:110:0::::FSP_PROJECT,FSP_ORG_ID:65833,413439&cs=1AC0C9913499251FF8308468E90169473"">EN 12472:2020</a>""<a href=""https://standards.cen.eu/dyn/www/f?p=204:110:0::::FSP_PROJECT,FSP_ORG_ID:35087,6151&cs=190FF52D3B7C2630A24DBFA86AD81474D"">EN 16128:2015</a>"	"<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.1994.188.01.0001.01.ENG&toc=OJ:L:1994:188:TOC"">D 94/27/EC</a>""<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2004.301.01.0051.01.ENG&toc=OJ:L:2004:301:TOC"">D 2004/96/EC</a>""<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2009.164.01.0007.01.ENG&toc=OJ:L:2009:164:TOC"">R 552/2009</a>"	"<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/663"">entry 663</a>""<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/935"">entry 935</a>""<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/1911"">entry 1911</a>"	"Titles and references of standards to be used:  https://ec.europa.eu/docsroom/documents/45591"	"13-Jan-2016"	
"2-ethylhexanoic acid, nickel salt"	""	"231-480-1"	"7580-31-6"	"27"	"https://echa.europa.eu/documents/10162/3bbe9024-52a6-8e63-5581-e686331eb459"	""	"<a href=""https://standards.cencenelec.eu/dyn/www/f?p=CEN:110:0::::FSP_PROJECT,FSP_ORG_ID:65837,413439&cs=11CE3B335EC0E7D1F395E7774F8D5B9AD"">EN 1811:2023</a>""<a href=""https://standards.cen.eu/dyn/www/f?p=204:110:0::::FSP_PROJECT,FSP_ORG_ID:65833,413439&cs=1AC0C9913499251FF8308468E90169473"">EN 12472:2020</a>""<a href=""https://standards.cen.eu/dyn/www/f?p=204:110:0::::FSP_PROJECT,FSP_ORG_ID:35087,6151&cs=190FF52D3B7C2630A24DBFA86AD81474D"">EN 16128:2015</a>"	"<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.1994.188.01.0001.01.ENG&toc=OJ:L:1994:188:TOC"">D 94/27/EC</a>""<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2004.301.01.0051.01.ENG&toc=OJ:L:2004:301:TOC"">D 2004/96/EC</a>""<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2009.164.01.0007.01.ENG&toc=OJ:L:2009:164:TOC"">R 552/2009</a>"	"<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/663"">entry 663</a>""<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/935"">entry 935</a>""<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/1911"">entry 1911</a>"	"Titles and references of standards to be used:  https://ec.europa.eu/docsroom/documents/45591"	"13-Jan-2016"	
"Nickel(2+) sulphite"	""	"231-827-7"	"7757-95-1"	"27"	"https://echa.europa.eu/documents/10162/3bbe9024-52a6-8e63-5581-e686331eb459"	""	"<a href=""https://standards.cencenelec.eu/dyn/www/f?p=CEN:110:0::::FSP_PROJECT,FSP_ORG_ID:65837,413439&cs=11CE3B335EC0E7D1F395E7774F8D5B9AD"">EN 1811:2023</a>""<a href=""https://standards.cen.eu/dyn/www/f?p=204:110:0::::FSP_PROJECT,FSP_ORG_ID:65833,413439&cs=1AC0C9913499251FF8308468E90169473"">EN 12472:2020</a>""<a href=""https://standards.cen.eu/dyn/www/f?p=204:110:0::::FSP_PROJECT,FSP_ORG_ID:35087,6151&cs=190FF52D3B7C2630A24DBFA86AD81474D"">EN 16128:2015</a>"	"<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.1994.188.01.0001.01.ENG&toc=OJ:L:1994:188:TOC"">D 94/27/EC</a>""<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2004.301.01.0051.01.ENG&toc=OJ:L:2004:301:TOC"">D 2004/96/EC</a>""<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2009.164.01.0007.01.ENG&toc=OJ:L:2009:164:TOC"">R 552/2009</a>"	"<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/663"">entry 663</a>""<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/935"">entry 935</a>""<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/1911"">entry 1911</a>"	"Titles and references of standards to be used:  https://ec.europa.eu/docsroom/documents/45591"	"13-Jan-2016"	
"Nickel dihydroxide"	""	"235-008-5"	"12054-48-7"	"27"	"https://echa.europa.eu/documents/10162/3bbe9024-52a6-8e63-5581-e686331eb459"	""	"<a href=""https://standards.cencenelec.eu/dyn/www/f?p=CEN:110:0::::FSP_PROJECT,FSP_ORG_ID:65837,413439&cs=11CE3B335EC0E7D1F395E7774F8D5B9AD"">EN 1811:2023</a>""<a href=""https://standards.cen.eu/dyn/www/f?p=204:110:0::::FSP_PROJECT,FSP_ORG_ID:65833,413439&cs=1AC0C9913499251FF8308468E90169473"">EN 12472:2020</a>""<a href=""https://standards.cen.eu/dyn/www/f?p=204:110:0::::FSP_PROJECT,FSP_ORG_ID:35087,6151&cs=190FF52D3B7C2630A24DBFA86AD81474D"">EN 16128:2015</a>"	"<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.1994.188.01.0001.01.ENG&toc=OJ:L:1994:188:TOC"">D 94/27/EC</a>""<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2004.301.01.0051.01.ENG&toc=OJ:L:2004:301:TOC"">D 2004/96/EC</a>""<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2009.164.01.0007.01.ENG&toc=OJ:L:2009:164:TOC"">R 552/2009</a>"	"<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/663"">entry 663</a>""<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/935"">entry 935</a>""<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/1911"">entry 1911</a>"	"Titles and references of standards to be used:  https://ec.europa.eu/docsroom/documents/45591"	"13-Jan-2016"	
"Dinickel silicide"	""	"235-033-1"	"12059-14-2"	"27"	"https://echa.europa.eu/documents/10162/3bbe9024-52a6-8e63-5581-e686331eb459"	""	"<a href=""https://standards.cencenelec.eu/dyn/www/f?p=CEN:110:0::::FSP_PROJECT,FSP_ORG_ID:65837,413439&cs=11CE3B335EC0E7D1F395E7774F8D5B9AD"">EN 1811:2023</a>""<a href=""https://standards.cen.eu/dyn/www/f?p=204:110:0::::FSP_PROJECT,FSP_ORG_ID:65833,413439&cs=1AC0C9913499251FF8308468E90169473"">EN 12472:2020</a>""<a href=""https://standards.cen.eu/dyn/www/f?p=204:110:0::::FSP_PROJECT,FSP_ORG_ID:35087,6151&cs=190FF52D3B7C2630A24DBFA86AD81474D"">EN 16128:2015</a>"	"<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.1994.188.01.0001.01.ENG&toc=OJ:L:1994:188:TOC"">D 94/27/EC</a>""<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2004.301.01.0051.01.ENG&toc=OJ:L:2004:301:TOC"">D 2004/96/EC</a>""<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2009.164.01.0007.01.ENG&toc=OJ:L:2009:164:TOC"">R 552/2009</a>"	"<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/663"">entry 663</a>""<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/935"">entry 935</a>""<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/1911"">entry 1911</a>"	"Titles and references of standards to be used:  https://ec.europa.eu/docsroom/documents/45591"	"13-Jan-2016"	
"Nickel, compound with tin (3:1)"	""	"235-034-7"	"12059-23-3"	"27"	"https://echa.europa.eu/documents/10162/3bbe9024-52a6-8e63-5581-e686331eb459"	""	"<a href=""https://standards.cencenelec.eu/dyn/www/f?p=CEN:110:0::::FSP_PROJECT,FSP_ORG_ID:65837,413439&cs=11CE3B335EC0E7D1F395E7774F8D5B9AD"">EN 1811:2023</a>""<a href=""https://standards.cen.eu/dyn/www/f?p=204:110:0::::FSP_PROJECT,FSP_ORG_ID:65833,413439&cs=1AC0C9913499251FF8308468E90169473"">EN 12472:2020</a>""<a href=""https://standards.cen.eu/dyn/www/f?p=204:110:0::::FSP_PROJECT,FSP_ORG_ID:35087,6151&cs=190FF52D3B7C2630A24DBFA86AD81474D"">EN 16128:2015</a>"	"<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.1994.188.01.0001.01.ENG&toc=OJ:L:1994:188:TOC"">D 94/27/EC</a>""<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2004.301.01.0051.01.ENG&toc=OJ:L:2004:301:TOC"">D 2004/96/EC</a>""<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2009.164.01.0007.01.ENG&toc=OJ:L:2009:164:TOC"">R 552/2009</a>"	"<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/663"">entry 663</a>""<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/935"">entry 935</a>""<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/1911"">entry 1911</a>"	"Titles and references of standards to be used:  https://ec.europa.eu/docsroom/documents/45591"	"13-Jan-2016"	
"Nickel diarsenide"	""	"235-103-1"	"12068-61-0"	"27"	"https://echa.europa.eu/documents/10162/3bbe9024-52a6-8e63-5581-e686331eb459"	""	"<a href=""https://standards.cencenelec.eu/dyn/www/f?p=CEN:110:0::::FSP_PROJECT,FSP_ORG_ID:65837,413439&cs=11CE3B335EC0E7D1F395E7774F8D5B9AD"">EN 1811:2023</a>""<a href=""https://standards.cen.eu/dyn/www/f?p=204:110:0::::FSP_PROJECT,FSP_ORG_ID:65833,413439&cs=1AC0C9913499251FF8308468E90169473"">EN 12472:2020</a>""<a href=""https://standards.cen.eu/dyn/www/f?p=204:110:0::::FSP_PROJECT,FSP_ORG_ID:35087,6151&cs=190FF52D3B7C2630A24DBFA86AD81474D"">EN 16128:2015</a>"	"<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.1994.188.01.0001.01.ENG&toc=OJ:L:1994:188:TOC"">D 94/27/EC</a>""<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2004.301.01.0051.01.ENG&toc=OJ:L:2004:301:TOC"">D 2004/96/EC</a>""<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2009.164.01.0007.01.ENG&toc=OJ:L:2009:164:TOC"">R 552/2009</a>"	"<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/663"">entry 663</a>""<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/935"">entry 935</a>""<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/1911"">entry 1911</a>"	"Titles and references of standards to be used:  https://ec.europa.eu/docsroom/documents/45591"	"13-Jan-2016"	
"Nickel telluride"	""	"235-260-6"	"12142-88-0"	"27"	"https://echa.europa.eu/documents/10162/3bbe9024-52a6-8e63-5581-e686331eb459"	""	"<a href=""https://standards.cencenelec.eu/dyn/www/f?p=CEN:110:0::::FSP_PROJECT,FSP_ORG_ID:65837,413439&cs=11CE3B335EC0E7D1F395E7774F8D5B9AD"">EN 1811:2023</a>""<a href=""https://standards.cen.eu/dyn/www/f?p=204:110:0::::FSP_PROJECT,FSP_ORG_ID:65833,413439&cs=1AC0C9913499251FF8308468E90169473"">EN 12472:2020</a>""<a href=""https://standards.cen.eu/dyn/www/f?p=204:110:0::::FSP_PROJECT,FSP_ORG_ID:35087,6151&cs=190FF52D3B7C2630A24DBFA86AD81474D"">EN 16128:2015</a>"	"<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.1994.188.01.0001.01.ENG&toc=OJ:L:1994:188:TOC"">D 94/27/EC</a>""<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2004.301.01.0051.01.ENG&toc=OJ:L:2004:301:TOC"">D 2004/96/EC</a>""<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2009.164.01.0007.01.ENG&toc=OJ:L:2009:164:TOC"">R 552/2009</a>"	"<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/663"">entry 663</a>""<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/935"">entry 935</a>""<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/1911"">entry 1911</a>"	"Titles and references of standards to be used:  https://ec.europa.eu/docsroom/documents/45591"	"13-Jan-2016"	
"Nickel, compound with zirconium (1:2)"	""	"235-261-1"	"12142-92-6"	"27"	"https://echa.europa.eu/documents/10162/3bbe9024-52a6-8e63-5581-e686331eb459"	""	"<a href=""https://standards.cencenelec.eu/dyn/www/f?p=CEN:110:0::::FSP_PROJECT,FSP_ORG_ID:65837,413439&cs=11CE3B335EC0E7D1F395E7774F8D5B9AD"">EN 1811:2023</a>""<a href=""https://standards.cen.eu/dyn/www/f?p=204:110:0::::FSP_PROJECT,FSP_ORG_ID:65833,413439&cs=1AC0C9913499251FF8308468E90169473"">EN 12472:2020</a>""<a href=""https://standards.cen.eu/dyn/www/f?p=204:110:0::::FSP_PROJECT,FSP_ORG_ID:35087,6151&cs=190FF52D3B7C2630A24DBFA86AD81474D"">EN 16128:2015</a>"	"<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.1994.188.01.0001.01.ENG&toc=OJ:L:1994:188:TOC"">D 94/27/EC</a>""<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2004.301.01.0051.01.ENG&toc=OJ:L:2004:301:TOC"">D 2004/96/EC</a>""<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2009.164.01.0007.01.ENG&toc=OJ:L:2009:164:TOC"">R 552/2009</a>"	"<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/663"">entry 663</a>""<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/935"">entry 935</a>""<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/1911"">entry 1911</a>"	"Titles and references of standards to be used:  https://ec.europa.eu/docsroom/documents/45591"	"13-Jan-2016"	
"Diiron nickel tetraoxide"	""	"235-335-3"	"12168-54-6"	"27"	"https://echa.europa.eu/documents/10162/3bbe9024-52a6-8e63-5581-e686331eb459"	""	"<a href=""https://standards.cencenelec.eu/dyn/www/f?p=CEN:110:0::::FSP_PROJECT,FSP_ORG_ID:65837,413439&cs=11CE3B335EC0E7D1F395E7774F8D5B9AD"">EN 1811:2023</a>""<a href=""https://standards.cen.eu/dyn/www/f?p=204:110:0::::FSP_PROJECT,FSP_ORG_ID:65833,413439&cs=1AC0C9913499251FF8308468E90169473"">EN 12472:2020</a>""<a href=""https://standards.cen.eu/dyn/www/f?p=204:110:0::::FSP_PROJECT,FSP_ORG_ID:35087,6151&cs=190FF52D3B7C2630A24DBFA86AD81474D"">EN 16128:2015</a>"	"<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.1994.188.01.0001.01.ENG&toc=OJ:L:1994:188:TOC"">D 94/27/EC</a>""<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2004.301.01.0051.01.ENG&toc=OJ:L:2004:301:TOC"">D 2004/96/EC</a>""<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2009.164.01.0007.01.ENG&toc=OJ:L:2009:164:TOC"">R 552/2009</a>"	"<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/663"">entry 663</a>""<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/935"">entry 935</a>""<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/1911"">entry 1911</a>"	"Titles and references of standards to be used:  https://ec.europa.eu/docsroom/documents/45591"	"13-Jan-2016"	
"Di-μ-carbonylbis(η5-2,4-cyclopentadien-1-yl)dinickel"	""	"235-339-5"	"12170-92-2"	"27"	"https://echa.europa.eu/documents/10162/3bbe9024-52a6-8e63-5581-e686331eb459"	""	"<a href=""https://standards.cencenelec.eu/dyn/www/f?p=CEN:110:0::::FSP_PROJECT,FSP_ORG_ID:65837,413439&cs=11CE3B335EC0E7D1F395E7774F8D5B9AD"">EN 1811:2023</a>""<a href=""https://standards.cen.eu/dyn/www/f?p=204:110:0::::FSP_PROJECT,FSP_ORG_ID:65833,413439&cs=1AC0C9913499251FF8308468E90169473"">EN 12472:2020</a>""<a href=""https://standards.cen.eu/dyn/www/f?p=204:110:0::::FSP_PROJECT,FSP_ORG_ID:35087,6151&cs=190FF52D3B7C2630A24DBFA86AD81474D"">EN 16128:2015</a>"	"<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.1994.188.01.0001.01.ENG&toc=OJ:L:1994:188:TOC"">D 94/27/EC</a>""<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2004.301.01.0051.01.ENG&toc=OJ:L:2004:301:TOC"">D 2004/96/EC</a>""<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2009.164.01.0007.01.ENG&toc=OJ:L:2009:164:TOC"">R 552/2009</a>"	"<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/663"">entry 663</a>""<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/935"">entry 935</a>""<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/1911"">entry 1911</a>"	"Titles and references of standards to be used:  https://ec.europa.eu/docsroom/documents/45591"	"13-Jan-2016"	
"Dysprosium, compound with nickel (1:2)"	""	"235-341-6"	"12175-27-8"	"27"	"https://echa.europa.eu/documents/10162/3bbe9024-52a6-8e63-5581-e686331eb459"	""	"<a href=""https://standards.cencenelec.eu/dyn/www/f?p=CEN:110:0::::FSP_PROJECT,FSP_ORG_ID:65837,413439&cs=11CE3B335EC0E7D1F395E7774F8D5B9AD"">EN 1811:2023</a>""<a href=""https://standards.cen.eu/dyn/www/f?p=204:110:0::::FSP_PROJECT,FSP_ORG_ID:65833,413439&cs=1AC0C9913499251FF8308468E90169473"">EN 12472:2020</a>""<a href=""https://standards.cen.eu/dyn/www/f?p=204:110:0::::FSP_PROJECT,FSP_ORG_ID:35087,6151&cs=190FF52D3B7C2630A24DBFA86AD81474D"">EN 16128:2015</a>"	"<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.1994.188.01.0001.01.ENG&toc=OJ:L:1994:188:TOC"">D 94/27/EC</a>""<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2004.301.01.0051.01.ENG&toc=OJ:L:2004:301:TOC"">D 2004/96/EC</a>""<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2009.164.01.0007.01.ENG&toc=OJ:L:2009:164:TOC"">R 552/2009</a>"	"<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/663"">entry 663</a>""<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/935"">entry 935</a>""<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/1911"">entry 1911</a>"	"Titles and references of standards to be used:  https://ec.europa.eu/docsroom/documents/45591"	"13-Jan-2016"	
"Lanthanum, compound with nickel (1:5)"	""	"235-372-5"	"12196-72-4"	"27"	"https://echa.europa.eu/documents/10162/3bbe9024-52a6-8e63-5581-e686331eb459"	""	"<a href=""https://standards.cencenelec.eu/dyn/www/f?p=CEN:110:0::::FSP_PROJECT,FSP_ORG_ID:65837,413439&cs=11CE3B335EC0E7D1F395E7774F8D5B9AD"">EN 1811:2023</a>""<a href=""https://standards.cen.eu/dyn/www/f?p=204:110:0::::FSP_PROJECT,FSP_ORG_ID:65833,413439&cs=1AC0C9913499251FF8308468E90169473"">EN 12472:2020</a>""<a href=""https://standards.cen.eu/dyn/www/f?p=204:110:0::::FSP_PROJECT,FSP_ORG_ID:35087,6151&cs=190FF52D3B7C2630A24DBFA86AD81474D"">EN 16128:2015</a>"	"<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.1994.188.01.0001.01.ENG&toc=OJ:L:1994:188:TOC"">D 94/27/EC</a>""<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2004.301.01.0051.01.ENG&toc=OJ:L:2004:301:TOC"">D 2004/96/EC</a>""<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2009.164.01.0007.01.ENG&toc=OJ:L:2009:164:TOC"">R 552/2009</a>"	"<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/663"">entry 663</a>""<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/935"">entry 935</a>""<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/1911"">entry 1911</a>"	"Titles and references of standards to be used:  https://ec.europa.eu/docsroom/documents/45591"	"13-Jan-2016"	
