Annex of co-formulants not accepted for inclusion in PPPs
Note: Group entries are split in different rows.
Export date: 26/03/2025 20:20:26
Header

"Substance Identifier"	""	



""	""	""	""	""	
"Bis(2-methylpropyl)benzene-1,2-dicarboxylate"	"201-553-2"	"84-69-5"	"21"	"1 The limit for the acceptable presence of the substances listed in the table as unintentional impurity in the finished product is 0,1 % (weight by weight (w/w)) except where stated otherwise in this Annex3 From recital 14 in Regulation 2021/383/EU: The individual concentration of the unacceptable co-formulants in the finished plant protection product or adjuvant should be less than 0,1 % weight by weight (w/w) or less than a specific concentration limit related to CMR properties (carcinogenic, mutagenic and reprotoxic), when established in Annex VI to Regulation (EC) No 1272/2008 for the unacceptable co-formulant at a level lower than 0,1 % weight by weight (w/w), in order to be considered as acceptable unintentional impurity, unless a different limit is provided due to technical limitations of relevant analytical methods"	
"Boric acid"	"234-343-4"	"11113-50-1"	"22"	"1 The limit for the acceptable presence of the substances listed in the table as unintentional impurity in the finished product is 0,1 % (weight by weight (w/w)) except where stated otherwise in this Annex3 From recital 14 in Regulation 2021/383/EU: The individual concentration of the unacceptable co-formulants in the finished plant protection product or adjuvant should be less than 0,1 % weight by weight (w/w) or less than a specific concentration limit related to CMR properties (carcinogenic, mutagenic and reprotoxic), when established in Annex VI to Regulation (EC) No 1272/2008 for the unacceptable co-formulant at a level lower than 0,1 % weight by weight (w/w), in order to be considered as acceptable unintentional impurity, unless a different limit is provided due to technical limitations of relevant analytical methods"	
"Boric acid"	"233-139-2"	"10043-35-3"	"22"	"1 The limit for the acceptable presence of the substances listed in the table as unintentional impurity in the finished product is 0,1 % (weight by weight (w/w)) except where stated otherwise in this Annex3 From recital 14 in Regulation 2021/383/EU: The individual concentration of the unacceptable co-formulants in the finished plant protection product or adjuvant should be less than 0,1 % weight by weight (w/w) or less than a specific concentration limit related to CMR properties (carcinogenic, mutagenic and reprotoxic), when established in Annex VI to Regulation (EC) No 1272/2008 for the unacceptable co-formulant at a level lower than 0,1 % weight by weight (w/w), in order to be considered as acceptable unintentional impurity, unless a different limit is provided due to technical limitations of relevant analytical methods"	
"Buta-1,3-diene"	"203-450-8"	"106-99-0"	"30"	"1 The limit for the acceptable presence of the substances listed in the table as unintentional impurity in the finished product is 0,1 % (weight by weight (w/w)) except where stated otherwise in this Annex3 From recital 14 in Regulation 2021/383/EU: The individual concentration of the unacceptable co-formulants in the finished plant protection product or adjuvant should be less than 0,1 % weight by weight (w/w) or less than a specific concentration limit related to CMR properties (carcinogenic, mutagenic and reprotoxic), when established in Annex VI to Regulation (EC) No 1272/2008 for the unacceptable co-formulant at a level lower than 0,1 % weight by weight (w/w), in order to be considered as acceptable unintentional impurity, unless a different limit is provided due to technical limitations of relevant analytical methods"	
"Butane"	"203-448-7"	"106-97-8"	"31"	"1 The limit for the acceptable presence of the substances listed in the table as unintentional impurity in the finished product is 0,1 % (weight by weight (w/w)) except where stated otherwise in this Annex3 From recital 14 in Regulation 2021/383/EU: The individual concentration of the unacceptable co-formulants in the finished plant protection product or adjuvant should be less than 0,1 % weight by weight (w/w) or less than a specific concentration limit related to CMR properties (carcinogenic, mutagenic and reprotoxic), when established in Annex VI to Regulation (EC) No 1272/2008 for the unacceptable co-formulant at a level lower than 0,1 % weight by weight (w/w), in order to be considered as acceptable unintentional impurity, unless a different limit is provided due to technical limitations of relevant analytical methods"	
"Chrysotile asbestos"	"601-650-3"	"12001-29-5"	"16"	"1 The limit for the acceptable presence of the substances listed in the table as unintentional impurity in the finished product is 0,1 % (weight by weight (w/w)) except where stated otherwise in this Annex3 From recital 14 in Regulation 2021/383/EU: The individual concentration of the unacceptable co-formulants in the finished plant protection product or adjuvant should be less than 0,1 % weight by weight (w/w) or less than a specific concentration limit related to CMR properties (carcinogenic, mutagenic and reprotoxic), when established in Annex VI to Regulation (EC) No 1272/2008 for the unacceptable co-formulant at a level lower than 0,1 % weight by weight (w/w), in order to be considered as acceptable unintentional impurity, unless a different limit is provided due to technical limitations of relevant analytical methods"	
"Crocidolite asbestos"	"601-649-8"	"12001-28-4"	"17"	"1 The limit for the acceptable presence of the substances listed in the table as unintentional impurity in the finished product is 0,1 % (weight by weight (w/w)) except where stated otherwise in this Annex3 From recital 14 in Regulation 2021/383/EU: The individual concentration of the unacceptable co-formulants in the finished plant protection product or adjuvant should be less than 0,1 % weight by weight (w/w) or less than a specific concentration limit related to CMR properties (carcinogenic, mutagenic and reprotoxic), when established in Annex VI to Regulation (EC) No 1272/2008 for the unacceptable co-formulant at a level lower than 0,1 % weight by weight (w/w), in order to be considered as acceptable unintentional impurity, unless a different limit is provided due to technical limitations of relevant analytical methods"	
"Cyanamide, N-cyano-, compd. with 1,6-hexanediamine (2:1), polymer with 1,6-hexanediamine hydrochloride (1:2)"	"-"	"1802181-67-4"	"32"	"1 The limit for the acceptable presence of the substances listed in the table as unintentional impurity in the finished product is 0,1 % (weight by weight (w/w)) except where stated otherwise in this Annex3 From recital 14 in Regulation 2021/383/EU: The individual concentration of the unacceptable co-formulants in the finished plant protection product or adjuvant should be less than 0,1 % weight by weight (w/w) or less than a specific concentration limit related to CMR properties (carcinogenic, mutagenic and reprotoxic), when established in Annex VI to Regulation (EC) No 1272/2008 for the unacceptable co-formulant at a level lower than 0,1 % weight by weight (w/w), in order to be considered as acceptable unintentional impurity, unless a different limit is provided due to technical limitations of relevant analytical methods"	
"Dibutyl phthalate"	"201-557-4"	"84-74-2"	"33"	"1 The limit for the acceptable presence of the substances listed in the table as unintentional impurity in the finished product is 0,1 % (weight by weight (w/w)) except where stated otherwise in this Annex3 From recital 14 in Regulation 2021/383/EU: The individual concentration of the unacceptable co-formulants in the finished plant protection product or adjuvant should be less than 0,1 % weight by weight (w/w) or less than a specific concentration limit related to CMR properties (carcinogenic, mutagenic and reprotoxic), when established in Annex VI to Regulation (EC) No 1272/2008 for the unacceptable co-formulant at a level lower than 0,1 % weight by weight (w/w), in order to be considered as acceptable unintentional impurity, unless a different limit is provided due to technical limitations of relevant analytical methods"	
"Disodium octaborate"	"234-541-0"	"12008-41-2"	"23"	"1 The limit for the acceptable presence of the substances listed in the table as unintentional impurity in the finished product is 0,1 % (weight by weight (w/w)) except where stated otherwise in this Annex3 From recital 14 in Regulation 2021/383/EU: The individual concentration of the unacceptable co-formulants in the finished plant protection product or adjuvant should be less than 0,1 % weight by weight (w/w) or less than a specific concentration limit related to CMR properties (carcinogenic, mutagenic and reprotoxic), when established in Annex VI to Regulation (EC) No 1272/2008 for the unacceptable co-formulant at a level lower than 0,1 % weight by weight (w/w), in order to be considered as acceptable unintentional impurity, unless a different limit is provided due to technical limitations of relevant analytical methods"	
"Disodium octaborate, tetrahydrate"	"234-541-0"	"12280-03-4"	"24"	"1 The limit for the acceptable presence of the substances listed in the table as unintentional impurity in the finished product is 0,1 % (weight by weight (w/w)) except where stated otherwise in this Annex3 From recital 14 in Regulation 2021/383/EU: The individual concentration of the unacceptable co-formulants in the finished plant protection product or adjuvant should be less than 0,1 % weight by weight (w/w) or less than a specific concentration limit related to CMR properties (carcinogenic, mutagenic and reprotoxic), when established in Annex VI to Regulation (EC) No 1272/2008 for the unacceptable co-formulant at a level lower than 0,1 % weight by weight (w/w), in order to be considered as acceptable unintentional impurity, unless a different limit is provided due to technical limitations of relevant analytical methods"	
"Disodium tetraborate pentahydrate"	"601-808-1"	"12179-04-3"	"27"	"1 The limit for the acceptable presence of the substances listed in the table as unintentional impurity in the finished product is 0,1 % (weight by weight (w/w)) except where stated otherwise in this Annex3 From recital 14 in Regulation 2021/383/EU: The individual concentration of the unacceptable co-formulants in the finished plant protection product or adjuvant should be less than 0,1 % weight by weight (w/w) or less than a specific concentration limit related to CMR properties (carcinogenic, mutagenic and reprotoxic), when established in Annex VI to Regulation (EC) No 1272/2008 for the unacceptable co-formulant at a level lower than 0,1 % weight by weight (w/w), in order to be considered as acceptable unintentional impurity, unless a different limit is provided due to technical limitations of relevant analytical methods"	
"Disodium tetraborate, anhydrous"	"215-540-4"	"1330-43-4"	"25"	"1 The limit for the acceptable presence of the substances listed in the table as unintentional impurity in the finished product is 0,1 % (weight by weight (w/w)) except where stated otherwise in this Annex3 From recital 14 in Regulation 2021/383/EU: The individual concentration of the unacceptable co-formulants in the finished plant protection product or adjuvant should be less than 0,1 % weight by weight (w/w) or less than a specific concentration limit related to CMR properties (carcinogenic, mutagenic and reprotoxic), when established in Annex VI to Regulation (EC) No 1272/2008 for the unacceptable co-formulant at a level lower than 0,1 % weight by weight (w/w), in order to be considered as acceptable unintentional impurity, unless a different limit is provided due to technical limitations of relevant analytical methods"	
"Disodium tetraborate, decahydrate"	"215-540-4"	"1303-96-4"	"26"	"1 The limit for the acceptable presence of the substances listed in the table as unintentional impurity in the finished product is 0,1 % (weight by weight (w/w)) except where stated otherwise in this Annex3 From recital 14 in Regulation 2021/383/EU: The individual concentration of the unacceptable co-formulants in the finished plant protection product or adjuvant should be less than 0,1 % weight by weight (w/w) or less than a specific concentration limit related to CMR properties (carcinogenic, mutagenic and reprotoxic), when established in Annex VI to Regulation (EC) No 1272/2008 for the unacceptable co-formulant at a level lower than 0,1 % weight by weight (w/w), in order to be considered as acceptable unintentional impurity, unless a different limit is provided due to technical limitations of relevant analytical methods"	
"Distillates (petroleum), hydrotreated heavy naphthenic"	"265-155-0"	"64742-52-5"	"34"	"1 The limit for the acceptable presence of the substances listed in the table as unintentional impurity in the finished product is 0,1 % (weight by weight (w/w)) except where stated otherwise in this Annex3 From recital 14 in Regulation 2021/383/EU: The individual concentration of the unacceptable co-formulants in the finished plant protection product or adjuvant should be less than 0,1 % weight by weight (w/w) or less than a specific concentration limit related to CMR properties (carcinogenic, mutagenic and reprotoxic), when established in Annex VI to Regulation (EC) No 1272/2008 for the unacceptable co-formulant at a level lower than 0,1 % weight by weight (w/w), in order to be considered as acceptable unintentional impurity, unless a different limit is provided due to technical limitations of relevant analytical methods"	
"Distillates (petroleum), hydrotreated heavy paraffinic"	"265-157-1"	"64742-54-7"	"35"	"1 The limit for the acceptable presence of the substances listed in the table as unintentional impurity in the finished product is 0,1 % (weight by weight (w/w)) except where stated otherwise in this Annex3 From recital 14 in Regulation 2021/383/EU: The individual concentration of the unacceptable co-formulants in the finished plant protection product or adjuvant should be less than 0,1 % weight by weight (w/w) or less than a specific concentration limit related to CMR properties (carcinogenic, mutagenic and reprotoxic), when established in Annex VI to Regulation (EC) No 1272/2008 for the unacceptable co-formulant at a level lower than 0,1 % weight by weight (w/w), in order to be considered as acceptable unintentional impurity, unless a different limit is provided due to technical limitations of relevant analytical methods"	
"Distillates (petroleum), hydrotreated light naphthenic"	"265-156-6"	"64742-53-6"	"36"	"1 The limit for the acceptable presence of the substances listed in the table as unintentional impurity in the finished product is 0,1 % (weight by weight (w/w)) except where stated otherwise in this Annex3 From recital 14 in Regulation 2021/383/EU: The individual concentration of the unacceptable co-formulants in the finished plant protection product or adjuvant should be less than 0,1 % weight by weight (w/w) or less than a specific concentration limit related to CMR properties (carcinogenic, mutagenic and reprotoxic), when established in Annex VI to Regulation (EC) No 1272/2008 for the unacceptable co-formulant at a level lower than 0,1 % weight by weight (w/w), in order to be considered as acceptable unintentional impurity, unless a different limit is provided due to technical limitations of relevant analytical methods"	
"Distillates (petroleum), hydrotreated light paraffinic"	"265-158-7"	"64742-55-8"	"37"	"1 The limit for the acceptable presence of the substances listed in the table as unintentional impurity in the finished product is 0,1 % (weight by weight (w/w)) except where stated otherwise in this Annex3 From recital 14 in Regulation 2021/383/EU: The individual concentration of the unacceptable co-formulants in the finished plant protection product or adjuvant should be less than 0,1 % weight by weight (w/w) or less than a specific concentration limit related to CMR properties (carcinogenic, mutagenic and reprotoxic), when established in Annex VI to Regulation (EC) No 1272/2008 for the unacceptable co-formulant at a level lower than 0,1 % weight by weight (w/w), in order to be considered as acceptable unintentional impurity, unless a different limit is provided due to technical limitations of relevant analytical methods"	
"Distillates (petroleum), solvent-dewaxed heavy paraffinic"	"265-169-7"	"64742-65-0"	"38"	"1 The limit for the acceptable presence of the substances listed in the table as unintentional impurity in the finished product is 0,1 % (weight by weight (w/w)) except where stated otherwise in this Annex3 From recital 14 in Regulation 2021/383/EU: The individual concentration of the unacceptable co-formulants in the finished plant protection product or adjuvant should be less than 0,1 % weight by weight (w/w) or less than a specific concentration limit related to CMR properties (carcinogenic, mutagenic and reprotoxic), when established in Annex VI to Regulation (EC) No 1272/2008 for the unacceptable co-formulant at a level lower than 0,1 % weight by weight (w/w), in order to be considered as acceptable unintentional impurity, unless a different limit is provided due to technical limitations of relevant analytical methods"	
"Distillates (petroleum), solvent-refined heavy paraffinic"	"265-090-8"	"64741-88-4"	"39"	"1 The limit for the acceptable presence of the substances listed in the table as unintentional impurity in the finished product is 0,1 % (weight by weight (w/w)) except where stated otherwise in this Annex3 From recital 14 in Regulation 2021/383/EU: The individual concentration of the unacceptable co-formulants in the finished plant protection product or adjuvant should be less than 0,1 % weight by weight (w/w) or less than a specific concentration limit related to CMR properties (carcinogenic, mutagenic and reprotoxic), when established in Annex VI to Regulation (EC) No 1272/2008 for the unacceptable co-formulant at a level lower than 0,1 % weight by weight (w/w), in order to be considered as acceptable unintentional impurity, unless a different limit is provided due to technical limitations of relevant analytical methods"	
"Distillates (petroleum), solvent-refined light paraffinic"	"265-091-3"	"64741-89-5"	"40"	"1 The limit for the acceptable presence of the substances listed in the table as unintentional impurity in the finished product is 0,1 % (weight by weight (w/w)) except where stated otherwise in this Annex3 From recital 14 in Regulation 2021/383/EU: The individual concentration of the unacceptable co-formulants in the finished plant protection product or adjuvant should be less than 0,1 % weight by weight (w/w) or less than a specific concentration limit related to CMR properties (carcinogenic, mutagenic and reprotoxic), when established in Annex VI to Regulation (EC) No 1272/2008 for the unacceptable co-formulant at a level lower than 0,1 % weight by weight (w/w), in order to be considered as acceptable unintentional impurity, unless a different limit is provided due to technical limitations of relevant analytical methods"	
"Ethanol, 2-(4-nonylphenoxy)"	"-"	"104-35-8"	"78"	"1 The limit for the acceptable presence of the substances listed in the table as unintentional impurity in the finished product is 0,1 % (weight by weight (w/w)) except where stated otherwise in this Annex3 From recital 14 in Regulation 2021/383/EU: The individual concentration of the unacceptable co-formulants in the finished plant protection product or adjuvant should be less than 0,1 % weight by weight (w/w) or less than a specific concentration limit related to CMR properties (carcinogenic, mutagenic and reprotoxic), when established in Annex VI to Regulation (EC) No 1272/2008 for the unacceptable co-formulant at a level lower than 0,1 % weight by weight (w/w), in order to be considered as acceptable unintentional impurity, unless a different limit is provided due to technical limitations of relevant analytical methods"	
"Ethanol, 2-(4-octylphenoxy)-;Poly(oxy-1,2-ethanediyl), α-(4-octylphenyl)-ω-hydroxy-"	"257-203-4"	"26636-32-8;51437-89-9"	"123"	"1 The limit for the acceptable presence of the substances listed in the table as unintentional impurity in the finished product is 0,1 % (weight by weight (w/w)) except where stated otherwise in this Annex3 From recital 14 in Regulation 2021/383/EU: The individual concentration of the unacceptable co-formulants in the finished plant protection product or adjuvant should be less than 0,1 % weight by weight (w/w) or less than a specific concentration limit related to CMR properties (carcinogenic, mutagenic and reprotoxic), when established in Annex VI to Regulation (EC) No 1272/2008 for the unacceptable co-formulant at a level lower than 0,1 % weight by weight (w/w), in order to be considered as acceptable unintentional impurity, unless a different limit is provided due to technical limitations of relevant analytical methods"	
"Ethanol, 2-(4-octylphenoxy)-;Poly(oxy-1,2-ethanediyl), α-(4-octylphenyl)-ω-hydroxy-"	"257-203-4"	"26636-32-8;51437-89-9"	"122"	"1 The limit for the acceptable presence of the substances listed in the table as unintentional impurity in the finished product is 0,1 % (weight by weight (w/w)) except where stated otherwise in this Annex3 From recital 14 in Regulation 2021/383/EU: The individual concentration of the unacceptable co-formulants in the finished plant protection product or adjuvant should be less than 0,1 % weight by weight (w/w) or less than a specific concentration limit related to CMR properties (carcinogenic, mutagenic and reprotoxic), when established in Annex VI to Regulation (EC) No 1272/2008 for the unacceptable co-formulant at a level lower than 0,1 % weight by weight (w/w), in order to be considered as acceptable unintentional impurity, unless a different limit is provided due to technical limitations of relevant analytical methods"	
"Ethanol, 2-[2-(1,1,3,3-tetramethylbutyl)phenoxy]-"	"-"	"84658-53-7"	"138"	"1 The limit for the acceptable presence of the substances listed in the table as unintentional impurity in the finished product is 0,1 % (weight by weight (w/w)) except where stated otherwise in this Annex3 From recital 14 in Regulation 2021/383/EU: The individual concentration of the unacceptable co-formulants in the finished plant protection product or adjuvant should be less than 0,1 % weight by weight (w/w) or less than a specific concentration limit related to CMR properties (carcinogenic, mutagenic and reprotoxic), when established in Annex VI to Regulation (EC) No 1272/2008 for the unacceptable co-formulant at a level lower than 0,1 % weight by weight (w/w), in order to be considered as acceptable unintentional impurity, unless a different limit is provided due to technical limitations of relevant analytical methods"	
"Ethanol, 2-[2-(4-nonylphenoxy)ethoxy]-"	"243-816-4"	"20427-84-3"	"71"	"1 The limit for the acceptable presence of the substances listed in the table as unintentional impurity in the finished product is 0,1 % (weight by weight (w/w)) except where stated otherwise in this Annex3 From recital 14 in Regulation 2021/383/EU: The individual concentration of the unacceptable co-formulants in the finished plant protection product or adjuvant should be less than 0,1 % weight by weight (w/w) or less than a specific concentration limit related to CMR properties (carcinogenic, mutagenic and reprotoxic), when established in Annex VI to Regulation (EC) No 1272/2008 for the unacceptable co-formulant at a level lower than 0,1 % weight by weight (w/w), in order to be considered as acceptable unintentional impurity, unless a different limit is provided due to technical limitations of relevant analytical methods"	
"Ethanol, 2-[2-(4-octylphenoxy)ethoxy]-"	"-"	"51437-90-2"	"127"	"1 The limit for the acceptable presence of the substances listed in the table as unintentional impurity in the finished product is 0,1 % (weight by weight (w/w)) except where stated otherwise in this Annex3 From recital 14 in Regulation 2021/383/EU: The individual concentration of the unacceptable co-formulants in the finished plant protection product or adjuvant should be less than 0,1 % weight by weight (w/w) or less than a specific concentration limit related to CMR properties (carcinogenic, mutagenic and reprotoxic), when established in Annex VI to Regulation (EC) No 1272/2008 for the unacceptable co-formulant at a level lower than 0,1 % weight by weight (w/w), in order to be considered as acceptable unintentional impurity, unless a different limit is provided due to technical limitations of relevant analytical methods"	
"Ethanol, 2-[2-(4-tert-nonylphenoxy)ethoxy]-"	"-"	"156609-10-8"	"80"	"1 The limit for the acceptable presence of the substances listed in the table as unintentional impurity in the finished product is 0,1 % (weight by weight (w/w)) except where stated otherwise in this Annex3 From recital 14 in Regulation 2021/383/EU: The individual concentration of the unacceptable co-formulants in the finished plant protection product or adjuvant should be less than 0,1 % weight by weight (w/w) or less than a specific concentration limit related to CMR properties (carcinogenic, mutagenic and reprotoxic), when established in Annex VI to Regulation (EC) No 1272/2008 for the unacceptable co-formulant at a level lower than 0,1 % weight by weight (w/w), in order to be considered as acceptable unintentional impurity, unless a different limit is provided due to technical limitations of relevant analytical methods"	
"Ethanol, 2-[2-(octylphenoxy)ethoxy]-"	"-"	"27176-92-7"	"139"	"1 The limit for the acceptable presence of the substances listed in the table as unintentional impurity in the finished product is 0,1 % (weight by weight (w/w)) except where stated otherwise in this Annex3 From recital 14 in Regulation 2021/383/EU: The individual concentration of the unacceptable co-formulants in the finished plant protection product or adjuvant should be less than 0,1 % weight by weight (w/w) or less than a specific concentration limit related to CMR properties (carcinogenic, mutagenic and reprotoxic), when established in Annex VI to Regulation (EC) No 1272/2008 for the unacceptable co-formulant at a level lower than 0,1 % weight by weight (w/w), in order to be considered as acceptable unintentional impurity, unless a different limit is provided due to technical limitations of relevant analytical methods"	
"Ethanol, 2-[2-[2-[2-(4-nonylphenoxy)ethoxy]ethoxy]ethoxy]-"	"230-770-5"	"7311-27-5"	"7370"	"1 The limit for the acceptable presence of the substances listed in the table as unintentional impurity in the finished product is 0,1 % (weight by weight (w/w)) except where stated otherwise in this Annex3 From recital 14 in Regulation 2021/383/EU: The individual concentration of the unacceptable co-formulants in the finished plant protection product or adjuvant should be less than 0,1 % weight by weight (w/w) or less than a specific concentration limit related to CMR properties (carcinogenic, mutagenic and reprotoxic), when established in Annex VI to Regulation (EC) No 1272/2008 for the unacceptable co-formulant at a level lower than 0,1 % weight by weight (w/w), in order to be considered as acceptable unintentional impurity, unless a different limit is provided due to technical limitations of relevant analytical methods"	
"Ethanol, 2-[2-[2-[2-(4-octylphenoxy)ethoxy]ethoxy]ethoxy]-"	"-"	"51437-92-4"	"126"	"1 The limit for the acceptable presence of the substances listed in the table as unintentional impurity in the finished product is 0,1 % (weight by weight (w/w)) except where stated otherwise in this Annex3 From recital 14 in Regulation 2021/383/EU: The individual concentration of the unacceptable co-formulants in the finished plant protection product or adjuvant should be less than 0,1 % weight by weight (w/w) or less than a specific concentration limit related to CMR properties (carcinogenic, mutagenic and reprotoxic), when established in Annex VI to Regulation (EC) No 1272/2008 for the unacceptable co-formulant at a level lower than 0,1 % weight by weight (w/w), in order to be considered as acceptable unintentional impurity, unless a different limit is provided due to technical limitations of relevant analytical methods"	
"Ethanol, 2-[2-[2-[2-[4-(1,1,3,3-tetramethylbutyl)phenoxy]ethoxy]ethoxy]ethoxy]-"	"-"	"2315-63-1"	"133"	"1 The limit for the acceptable presence of the substances listed in the table as unintentional impurity in the finished product is 0,1 % (weight by weight (w/w)) except where stated otherwise in this Annex3 From recital 14 in Regulation 2021/383/EU: The individual concentration of the unacceptable co-formulants in the finished plant protection product or adjuvant should be less than 0,1 % weight by weight (w/w) or less than a specific concentration limit related to CMR properties (carcinogenic, mutagenic and reprotoxic), when established in Annex VI to Regulation (EC) No 1272/2008 for the unacceptable co-formulant at a level lower than 0,1 % weight by weight (w/w), in order to be considered as acceptable unintentional impurity, unless a different limit is provided due to technical limitations of relevant analytical methods"	
"Ethanol, 2-[2-[2-[4-(1,1,3,3-tetramethylbutyl)phenoxy]ethoxy]ethoxy]-"	"-"	"2315-62-0"	"132"	"1 The limit for the acceptable presence of the substances listed in the table as unintentional impurity in the finished product is 0,1 % (weight by weight (w/w)) except where stated otherwise in this Annex3 From recital 14 in Regulation 2021/383/EU: The individual concentration of the unacceptable co-formulants in the finished plant protection product or adjuvant should be less than 0,1 % weight by weight (w/w) or less than a specific concentration limit related to CMR properties (carcinogenic, mutagenic and reprotoxic), when established in Annex VI to Regulation (EC) No 1272/2008 for the unacceptable co-formulant at a level lower than 0,1 % weight by weight (w/w), in order to be considered as acceptable unintentional impurity, unless a different limit is provided due to technical limitations of relevant analytical methods"	
"Ethanol, 2-[2-[4-(1,1,3,3-tetramethylbutyl)phenoxy]ethoxy]-"	"621-341-7"	"2315-61-9"	"118114"	"1 The limit for the acceptable presence of the substances listed in the table as unintentional impurity in the finished product is 0,1 % (weight by weight (w/w)) except where stated otherwise in this Annex3 From recital 14 in Regulation 2021/383/EU: The individual concentration of the unacceptable co-formulants in the finished plant protection product or adjuvant should be less than 0,1 % weight by weight (w/w) or less than a specific concentration limit related to CMR properties (carcinogenic, mutagenic and reprotoxic), when established in Annex VI to Regulation (EC) No 1272/2008 for the unacceptable co-formulant at a level lower than 0,1 % weight by weight (w/w), in order to be considered as acceptable unintentional impurity, unless a different limit is provided due to technical limitations of relevant analytical methods"	
"Ethanol, 2-[3-(1,1,3,3-tetramethylbutyl)phenoxy]-"	"-"	"1026254-24-9"	"137"	"1 The limit for the acceptable presence of the substances listed in the table as unintentional impurity in the finished product is 0,1 % (weight by weight (w/w)) except where stated otherwise in this Annex3 From recital 14 in Regulation 2021/383/EU: The individual concentration of the unacceptable co-formulants in the finished plant protection product or adjuvant should be less than 0,1 % weight by weight (w/w) or less than a specific concentration limit related to CMR properties (carcinogenic, mutagenic and reprotoxic), when established in Annex VI to Regulation (EC) No 1272/2008 for the unacceptable co-formulant at a level lower than 0,1 % weight by weight (w/w), in order to be considered as acceptable unintentional impurity, unless a different limit is provided due to technical limitations of relevant analytical methods"	
"Ethanol, 2-[4-(1,1,3,3-tetramethylbutyl)phenoxy]-"	"621-345-9"	"2315-67-5"	"117115"	"1 The limit for the acceptable presence of the substances listed in the table as unintentional impurity in the finished product is 0,1 % (weight by weight (w/w)) except where stated otherwise in this Annex3 From recital 14 in Regulation 2021/383/EU: The individual concentration of the unacceptable co-formulants in the finished plant protection product or adjuvant should be less than 0,1 % weight by weight (w/w) or less than a specific concentration limit related to CMR properties (carcinogenic, mutagenic and reprotoxic), when established in Annex VI to Regulation (EC) No 1272/2008 for the unacceptable co-formulant at a level lower than 0,1 % weight by weight (w/w), in order to be considered as acceptable unintentional impurity, unless a different limit is provided due to technical limitations of relevant analytical methods"	
"Ethylene oxide"	"200-849-9"	"75-21-8"	"41"	"1 The limit for the acceptable presence of the substances listed in the table as unintentional impurity in the finished product is 0,1 % (weight by weight (w/w)) except where stated otherwise in this Annex3 From recital 14 in Regulation 2021/383/EU: The individual concentration of the unacceptable co-formulants in the finished plant protection product or adjuvant should be less than 0,1 % weight by weight (w/w) or less than a specific concentration limit related to CMR properties (carcinogenic, mutagenic and reprotoxic), when established in Annex VI to Regulation (EC) No 1272/2008 for the unacceptable co-formulant at a level lower than 0,1 % weight by weight (w/w), in order to be considered as acceptable unintentional impurity, unless a different limit is provided due to technical limitations of relevant analytical methods"	
"Formaldehyde"	"200-001-8"	"50-00-0"	"42"	"1 The limit for the acceptable presence of the substances listed in the table as unintentional impurity in the finished product is 0,1 % (weight by weight (w/w)) except where stated otherwise in this Annex3 From recital 14 in Regulation 2021/383/EU: The individual concentration of the unacceptable co-formulants in the finished plant protection product or adjuvant should be less than 0,1 % weight by weight (w/w) or less than a specific concentration limit related to CMR properties (carcinogenic, mutagenic and reprotoxic), when established in Annex VI to Regulation (EC) No 1272/2008 for the unacceptable co-formulant at a level lower than 0,1 % weight by weight (w/w), in order to be considered as acceptable unintentional impurity, unless a different limit is provided due to technical limitations of relevant analytical methods"	
"Formamide"	"200-842-0"	"75-12-7"	"43"	"1 The limit for the acceptable presence of the substances listed in the table as unintentional impurity in the finished product is 0,1 % (weight by weight (w/w)) except where stated otherwise in this Annex3 From recital 14 in Regulation 2021/383/EU: The individual concentration of the unacceptable co-formulants in the finished plant protection product or adjuvant should be less than 0,1 % weight by weight (w/w) or less than a specific concentration limit related to CMR properties (carcinogenic, mutagenic and reprotoxic), when established in Annex VI to Regulation (EC) No 1272/2008 for the unacceptable co-formulant at a level lower than 0,1 % weight by weight (w/w), in order to be considered as acceptable unintentional impurity, unless a different limit is provided due to technical limitations of relevant analytical methods"	
"Guanidine, N,N'''-1,6-hexanediylbis[N'-cyano-, polymer with 1,6-hexanediamine, hydrochloride"	"608-042-7"	"27083-27-8"	"32"	"1 The limit for the acceptable presence of the substances listed in the table as unintentional impurity in the finished product is 0,1 % (weight by weight (w/w)) except where stated otherwise in this Annex3 From recital 14 in Regulation 2021/383/EU: The individual concentration of the unacceptable co-formulants in the finished plant protection product or adjuvant should be less than 0,1 % weight by weight (w/w) or less than a specific concentration limit related to CMR properties (carcinogenic, mutagenic and reprotoxic), when established in Annex VI to Regulation (EC) No 1272/2008 for the unacceptable co-formulant at a level lower than 0,1 % weight by weight (w/w), in order to be considered as acceptable unintentional impurity, unless a different limit is provided due to technical limitations of relevant analytical methods"	
"Isobutane"	"200-857-2"	"75-28-5"	"44"	"1 The limit for the acceptable presence of the substances listed in the table as unintentional impurity in the finished product is 0,1 % (weight by weight (w/w)) except where stated otherwise in this Annex3 From recital 14 in Regulation 2021/383/EU: The individual concentration of the unacceptable co-formulants in the finished plant protection product or adjuvant should be less than 0,1 % weight by weight (w/w) or less than a specific concentration limit related to CMR properties (carcinogenic, mutagenic and reprotoxic), when established in Annex VI to Regulation (EC) No 1272/2008 for the unacceptable co-formulant at a level lower than 0,1 % weight by weight (w/w), in order to be considered as acceptable unintentional impurity, unless a different limit is provided due to technical limitations of relevant analytical methods"	
