Chemical Name;CAS Number;Alternative Name
Perfluorooctanoic anhydride;33496-48-9;
Perfluorooctanoyl fluoride;335-66-0;
N-(3-(Bis(2-hydroxyethyl)amino)propyl)perfluorooctanamide;41358-63-8;
Fatty acids, C7-13, perfluoro;68333-92-6;
Octanoic acid, pentadecafluoro-, branched;90480-55-0;
Octanoic acid, pentadecafluoro-, mixed esters with 2,2'-[1,4-butanediylbis(oxymethylene)]bis[oxirane] and 2,2'-[1,6-hexanediylbis(oxymethylene)]bis[oxirane];90480-57-2;
1H-Benzimidazolium, 1,3-diethyl-2-methyl-5-[(1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluorohexyl)sulfonyl]-, 4-methylbenzenesulfonate (1:1);76848-68-5;
Heptadecane, 1,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8-heptadecafluoro-;931415-52-0;
2-Dodecenal, 3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,12-eicosafluoro-;864551-40-6;
1,2-Undecanediol, 4,4,5,5,6,6,7,7,8,8,9,9,10,11,11,11-hexadecafluoro-10-(trifluoromethyl)-, 1,1'-(hydrogen phosphate) (9CI);63295-20-5;
Tetradecane, 1,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10-heneicosafluoro-;1244062-17-6;
Nonadecane, 1,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10-heneicosafluoro-;125635-85-0;
Pentadecane, 1,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10-heneicosafluoro-;250738-42-2;
Eicosane, 1,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10-heneicosafluoro-;90499-29-9;
1,6,7,8,9,14,15,16,17,17,18,18-Dodecachloropentacyclo[12.2.1.16,9.02,13.05,10]octadeca-7,15-diene;13560-89-9;
Siloxanes and Silicones, di-Me, 3-hydroxypropyl group-terminated, reaction products with Me Et ketone oxime, 2-mercaptoethanol, 2-[methyl[(perfluoro-C3-8-alkyl)sulfonyl]amino]ethyl acrylate, polymethylenepolyphenylene isocyanate and polypropylene glycol;507225-08-3;
Poly(difluoromethylene), α-fluoro-ω-[2-[[2-(trimethylammonio)ethyl]thio]ethyl]-, methyl sulfate (1:1);65530-57-6;
Poly(difluoromethylene), α,α'-[phosphinicobis(oxy-2,1-ethanediyl)]bis[ω-fluoro-;65530-62-3;
1-Hexanesulfonamide, N-ethyl-1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluoro-N-methyl-;1427176-17-7;
Poly(difluoromethylene), α-fluoro-ω-(2-sulfoethyl)-;80010-37-3;
1-Hexanesulfinic acid, 1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluoro-, zinc salt (2:1);86525-30-6;
Heptanoic acid, 2,2,3,3,4,4,5,5,6,7,7,7-dodecafluoro-6-(trifluoromethyl)-, aluminum salt (3:1);15715-47-6;
Butanoic acid, 3,3,4,4,4-pentafluoro-2,2-bis(1,1,2,2,2-pentafluoroethyl)-;1882109-58-1;
Butanoic acid, 2,3,3,4,4,4-hexafluoro-2-[2,2,2-trifluoro-1,1-bis(trifluoromethyl)ethyl]-;1882109-60-5;
Pentanoic acid, 2,3,3,4,5,5,5-heptafluoro-2-(1,1,2,2,2-pentafluoroethyl)-4-(trifluoromethyl)-;1882109-65-0;
Pentanoic acid, 2,3,3,5,5,5-hexafluoro-2,4,4-tris(trifluoromethyl)-;1882109-73-0;
Hexanoic acid, 2,3,3,4,4,5,6,6,6-nonafluoro-2,5-bis(trifluoromethyl)-;1882109-80-9;
Hexanoic acid, 2,2,3,4,5,5,6,6,6-nonafluoro-3,4-bis(trifluoromethyl)-;1882109-81-0;
Decanoic acid, 4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-pentadecafluoro-;812-70-4;
Ethanaminium, N,N,N-triethyl-, 2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-pentadecafluorooctanoate (1:1);98241-25-9;
Tetracosane, 1,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,17,17,18,18,19,19,20,20,21,21,22,22,23,23,24,24,24-tetratriacontafluoro-;100550-08-1;
9-Tetracosene, 1,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8-heptadecafluoro-;1244062-16-5;
Decanal, 3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heptadecafluoro-;135984-68-8;
Pentadecane, 1,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8-heptadecafluoro-;182130-15-0;
Octadecane, 1,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10-heneicosafluoro-;93454-70-7;
Docosane, 1,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10-heneicosafluoro-;93454-71-8;
Undecane, 1,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11-tricosafluoro-11-iodo-;307-50-6;
Perfluorohexane-1-sulphonic acid;355-46-4;
Decane, 1,1,1,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10-eicosafluoro-10-iodo-2-(trifluoromethyl)-;677-93-0;
Dodecane, 1,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12-pentacosafluoro-12-iodo-;307-60-8;
Benzene, 1-fluoro-4-[(1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluorohexyl)sulfonyl]-;149652-30-2;
1,3-Propanediol, 2,2-bis[[(γ-ω-perfluoro-C10-20-alkyl)thio]methyl] derivs., phosphates, ammonium salts;148240-89-5;
Potassium perfluorooctanoate;2395-00-8;
Silver perfluorooctanoate;335-93-3;
Methyl perfluorooctanoate;376-27-2;
2-Carboxyethylbis(2-hydroxyethyl)-3-((perfluoro-1-oxooctyl)amino)propylammonium hydroxide;39186-68-0;
Chromium(3+) perfluorooctanoate;68141-02-6;
Tridecane, 1,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,13,13-heptacosafluoro-13-iodo-;376-04-5;
Tetradecane, 1,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,13,13,14,14-nonacosafluoro-14-iodo-;307-63-1;
2-Propenoic acid, 2-methyl-, 3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,13,13,14,14,15,16,16,16-octacosafluoro-15-(trifluoromethyl)hexadecyl ester;94158-64-2;
β-Alanine, N-[3-(dimethylamino)propyl]-N-[(1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluorohexyl)sulfonyl]-;141607-32-1;
1-Hexanesulfonamide, 1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluoro-;41997-13-1;
2-Propenoic acid, 2-[methyl[(1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluorohexyl)sulfonyl]amino]ethyl ester;67584-57-0;
Octanoic acid, pentadecafluoro-, branched, ammonium salt;90480-56-1;
Benzene, 1-chloro-4-[(1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluorohexyl)sulfonyl]-;76848-59-4;
1-Propanaminium, N,N,N-trimethyl-3-[[(1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluorohexyl)sulfonyl]amino]-, iodide (1:1);68957-58-4;
Hexanoic acid, 2,2,3,3,4,5,6,6,6-nonafluoro-4,5-bis(trifluoromethyl)-;1144512-36-6;
Amides, C7-19, α-ω-perfluoro-N,N-bis(hydroxyethyl);90622-99-4;
Hexanoic acid, 2,3,3,4,4,5,5,6,6,6-decafluoro-2-(1,1,2,2,2-pentafluoroethyl)-, ammonium salt (1:1);13058-06-5;
Heptanoic acid, 2,2,3,3,4,4,5,5,6,7,7,7-dodecafluoro-6-(trifluoromethyl)-, chromium salt (1:?);15739-82-9;
Hexanoic acid, 2,2,4,4,5,5,6,6,6-nonafluoro-3,3-bis(trifluoromethyl)-;1812247-20-3;
Butanoic acid, 3,3,4,4,4-pentafluoro-2-[1,2,2,2-tetrafluoro-1-(trifluoromethyl)ethyl]-2-(trifluoromethyl)-;1882109-59-2;
Pentanoic acid, 2,3,4,4,5,5,5-heptafluoro-3-(1,1,2,2,2-pentafluoroethyl)-2-(trifluoromethyl)-;1882109-66-1;
Pentanoic acid, 2,3,4,5,5,5-hexafluoro-2,3,4-tris(trifluoromethyl)-;1882109-72-9;
Pentanoic acid, 2,2,4,5,5,5-hexafluoro-3,3,4-tris(trifluoromethyl)-;1882109-74-1;
Hexanoic acid, 2,2,3,3,4,5,5,6,6,6-decafluoro-4-(1,1,2,2,2-pentafluoroethyl)-;1882109-79-6;
Heptanoic acid, 2,3,3,4,4,5,5,6,6,7,7,7-dodecafluoro-2-(trifluoromethyl)-;207678-51-1;
Tridecane, 1,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8-heptadecafluoro-;1835250-47-9;
Hexadecane, 1,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8-heptadecafluoro-;6145-05-7;
2-Propenoic acid, 4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,11-heptadecafluoro-2-hydroxyundecyl ester;76962-34-0;
1-Undecanol, 3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,11-nonadecafluoro-;87017-97-8;
1,2-Undecanediol, 4,4,5,5,6,6,7,7,8,8,9,9,10,11,11,11-hexadecafluoro-10-(trifluoromethyl)-, 1-(dihydrogen phosphate);54009-73-3;
Dodecanal, 3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,12-heneicosafluoro-;864551-38-2;
3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-Heptadecafluorodecan-1-ol;678-39-7;
2-Propenoic acid, 2-methyl-, 2-[methyl[(1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluorohexyl)sulfonyl]amino]ethyl ester;67584-61-6;
2-Propenoic acid, 2-methyl-, 2-[ethyl[(1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluorohexyl)sulfonyl]amino]ethyl ester, polymer with octadecyl 2-propenoate and 2-propenoic acid;67906-71-2;
1-Hexanesulfonamide, 1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluoro-N-(2-hydroxyethyl)-N-methyl-;68555-75-9;
Benzoic acid, 2,3,4,5-tetrachloro-6-[[[3-[[(1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluorohexyl)sulfonyl]oxy]phenyl]amino]carbonyl]-, potassium salt (1:1);68815-72-5;
Glycine, N-ethyl-N-[(1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluorohexyl)sulfonyl]-;68957-32-4;
2-Propenoic acid, 2-methyl-, 2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-pentadecafluorooctyl ester, polymer with 2-propenoic acid;53515-73-4;
Heptanoic acid, 2,2,3,3,4,4,5,5,6,7,7,7-dodecafluoro-6-(trifluoromethyl)-, potassium salt (1:1);29457-73-6;
Tetracosane, 1,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8-heptadecafluoro-;117146-18-6;
Eicosane, 1,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,13,13,14,14,15,15,16,16,17,17,18,18,19,19,20,20,20-tetratriacontafluoro-;133299-41-9;
Hexacosane, 1,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8-heptadecafluoro-;133310-73-3;
Tetradecane, 1,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8-heptadecafluoro-;182130-14-9;
Undecane, 1,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8-heptadecafluoro-;1835250-28-6;
Silane, dichloro(3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heptadecafluorodecyl)methyl-;3102-79-2;
Octanoic acid, 2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-pentadecafluoro-, ion(1-);45285-51-6;
2-Propenoic acid, 2-[[(heptadecafluorooctyl)sulfonyl]methylamino]ethyl ester, polymer with 2-[methyl[(nonafluorobutyl)sulfonyl]amino]ethyl 2-propenoate, α-(2-methyl-1-oxo-2-propenyl)-ω-hydroxypoly(oxy-1,2-ethanediyl), α-(2-methyl-1-oxo-2-propenyl)-ω-[(2-methyl-1-oxo-2-propenyl)oxy]poly(oxy-1,2-ethanediyl), 2-[methyl[(pentadecafluoroheptyl)sulfonyl]amino]ethyl 2-propenoate, 2-[methyl[(tridecafluorohexyl)sulfonyl]amino]ethyl 2-propenoate and 2-[methyl[(undecafluoropentyl)sulfonyl]amino]ethyl 2-propenoate (9CI);68586-13-0;
2-Propenoic acid, 2-[ethyl[(tridecafluorohexyl)sulfonyl]-amino]ethylester;1893-52-3;
2-Decenoic acid, 3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-hexadecafluoro-;70887-84-2;
Decane, 1,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8-heptadecafluoro-10-iodo-;2043-53-0;
Potassium perfluorohexane-1-sulphonate;3871-99-6;
Dotriacontane, 1,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8-heptadecafluoro-;137338-41-1;
2-Tridecanol, 1-[[3-(dimethylamino)propyl]amino]-4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,13,13,13-eicosafluoro-12-(trifluoromethyl)-;94159-83-8;
1-Pentadecanol, 3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,13,13,14,14,15,15,15-heptacosafluoro-;176676-70-3;
2-Propenoic acid, 4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,13,13,14,15,15,15-tetracosafluoro-2-hydroxy-14-(trifluoromethyl)pentadecyl ester;16083-87-7;
1,2-Pentadecanediol, 4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,13,13,14,15,15,15-tetracosafluoro-14-(trifluoromethyl)-, 1-(dihydrogen phosphate), diammonium salt (9CI);94200-51-8;
1-Decanethiol, 3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heptadecafluoro-;34143-74-3;
1-Propanaminium, N-(carboxymethyl)-3-[[(3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heptadecafluorodecyl)sulfonyl]amino]-N,N-dimethyl-, inner salt;34455-21-5;
Oxirane, 2-(2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,9-heptadecafluorononyl)-;38565-53-6;
1-Decanesulfonic acid, 3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heptadecafluoro-;39108-34-4;
Phosphonic acid, P-(1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-heptadecafluorooctyl)-;40143-78-0;
1-Decanol, 3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heptadecafluoro-, 1-(dihydrogen phosphate);57678-03-2;
1-Decanol, 3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heptadecafluoro-, 1,1'-(hydrogen phosphate);678-41-1;
2-Propenoic acid, 2-methyl-, 2-[ethyl[(1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-heptadecafluorooctyl)sulfonyl]amino]ethyl ester, telomer with 2-[ethyl[(1,1,2,2,3,3,4,4,4-nonafluorobutyl)sulfonyl]amino]ethyl 2-methyl-2-propenoate, 2-[ethyl[(1,1,2,2,3,3,4,4,5,5,6,6,7,7,7-pentadecafluoroheptyl)sulfonyl]amino]ethyl 2-methyl-2-propenoate, 2-[ethyl[(1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluorohexyl)sulfonyl]amino]ethyl 2-methyl-2-propenoate, 2-[ethyl[(1,1,2,2,3,3,4,4,5,5,5-undecafluoropentyl)sulfonyl]amino]ethyl 2-methyl-2-propenoate, 2-methyloxirane polymer with oxirane di-2-propenoate, 2-methyloxirane polymer with oxirane mono-2-propenoate and 1-octanethiol;68227-87-2;
2-Propenoic acid, 2-methyl-, C10-16-alkyl esters, polymers with 2-hydroxyethyl methacrylate, Me methacrylate and α-ω-perfluoro-C8-14-alkyl acrylate;125328-29-2;
1-Decanol, 3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heptadecafluoro-, dihydrogen phosphate, diammonium salt (9CI);93857-44-4;
Alkyl iodides, C10-12, γ-ω-perfluoro;68390-33-0;
2-Dodecenoic acid, 3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,12-eicosafluoro-;70887-94-4;
Piperazinium, 1-(carboxymethyl)-1-(2-hydroxyethyl)-4-(2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-nonadecafluoro-1-oxodecyl)-, inner salt;71356-38-2;
1-Dodecene, 3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,12-heneicosafluoro-;30389-25-4;
1-Propanaminium, N-(carboxymethyl)-3-[[(3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,12-heneicosafluorododecyl)sulfonyl]amino]-N,N-dimethyl-, inner salt;34455-35-1;
Ammonium bis[3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,12-henicosafluorododecyl] phosphate;93776-21-7;
Tetradecane, 1,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12-pentacosafluoro-14-iodo-;30046-31-2;
1-Tetradecanol, 3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,13,13,14,14,14-pentacosafluoro-;39239-77-5;
1,2-Heptadecanediol, 4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,13,13,14,14,15,15,16,17,17,17-octacosafluoro-16-(trifluoromethyl)-, 1-(dihydrogen phosphate);63295-29-4;
Tetradecane, 1,1,1,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,13,13,14,14-octacosafluoro-14-iodo-2-(trifluoromethyl)-;3248-63-3;
1-Propanaminium, N-(2-hydroxyethyl)-N,N-dimethyl-3-[(3-sulfopropyl)[(1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluorohexyl)sulfonyl]amino]-, inner salt;38850-58-7;
1-Hexanesulfonamide, N-[3-(dimethylamino)propyl]-1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluoro-;50598-28-2;
Poly(oxy-1,2-ethanediyl), α-[2-[ethyl[(1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluorohexyl)sulfonyl]amino]ethyl]-ω-hydroxy-;56372-23-7;
1-Hexanesulfonamide, 1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluoro-N-2-propen-1-yl-;67584-48-9;
2-Propenoic acid, 2-methyl-, dodecyl ester, polymers with 2-[methyl[(perfluoro-C4-8-alkyl)sulfonyl]amino]ethyl acrylate and vinylidene chloride;306975-62-2;
Tetrabromodiphenyl ether;40088-47-9;
Poly(difluoromethylene), α-fluoro-ω-[2-(phosphonooxy)ethyl]-;65530-61-2;
1,3-Propanediol, 2,2-bis[[(γ-ω-perfluoro-C4-10-alkyl)thio]methyl] derivs., phosphates, ammonium salts;148240-85-1;
Ethyl perfluorooctanoate;3108-24-5;
N,N,N-Trimethyl-3-[(perfluorooctanoyl)amino]-1-propanaminium chloride;53517-98-9;
Octanamide, N-(3-aminopropyl)-2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-pentadecafluoro-;85938-56-3;
2-Propenoic acid, 2-methyl-, 4-[methyl[(1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluorohexyl)sulfonyl]amino]butyl ester;67939-61-1;
1-Hexanesulfonamide, N-ethyl-1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluoro-N-[2-(phosphonooxy)ethyl]-;67969-65-7;
1-Hexanesulfonamide, 1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluoro-N-(phenylmethyl)-;68298-09-9;
Benzenesulfonic acid, [[[(1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluorohexyl)sulfonyl]amino]methyl]-, sodium salt (1:1);68299-21-8;
1-Hexanesulfonamide, N-[3-(dimethylamino)propyl]-1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluoro-, hydrochloride (1:1);68957-61-9;
1-Hexanesulfonamide, N-[3-(dimethylamino)propyl]-1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluoro-, acetate (1:1);73772-33-5;
1-Decanol, 2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-nonadecafluoro-;307-37-9;
Decane, 1,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10-heneicosafluoro-10-iodo-;423-62-1;
1,2-Undecanediol, 4,4,5,5,6,6,7,7,8,8,9,9,10,11,11,11-hexadecafluoro-10-(trifluoromethyl)-, 1-(dihydrogen phosphate), diammonium salt (9CI);63295-18-1;
Silane, (3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,12-heneicosafluorododecyl)trimethoxy-;123445-18-1;
Dodecane, 1,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10-heneicosafluoro-;154478-87-2;
Heptadecane, 1,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10-heneicosafluoro-;200817-54-5;
2-Propenoic acid, 2-methyl-, 3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,12,12,12-eicosafluoro-11-(trifluoromethyl)dodecyl ester;74256-14-7;
3-[Ethyl(perfluoro-1-oxooctyl)amino]-1-propanesulfonic acid sodium salt;89685-61-0;
Perfluorooctaneamide betaine;90179-39-8;
Isoxazolidine, 4-(4-methoxyphenyl)-2-methyl-5-[(1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluorohexyl)sulfonyl]-;93416-31-0;
Heptanoic acid, 2,2,3,3,4,5,5,6,6,7,7,7-dodecafluoro-4-(trifluoromethyl)-;1144512-18-4;
Hexanoic acid, 2,2,3,3,4,4,6,6,6-nonafluoro-5,5-bis(trifluoromethyl)-;1144512-34-4;
Hexanoic acid, 2,2,3,4,4,5,6,6,6-nonafluoro-3,5-bis(trifluoromethyl)-;1144512-35-5;
Carbamic acid, [2-(sulfothio)ethyl]-, C-(γ-ω-perfluoro-C6-9-alkyl) esters, monosodium salts;95370-51-7;
Heptanoic acid, 2,2,3,3,4,4,5,5,6,7,7,7-dodecafluoro-6-(trifluoromethyl)-, sodium salt (1:1);18017-22-6;
Hexanoic acid, 3,3,4,4,5,5,6,6,6-nonafluoro-2,2-bis(trifluoromethyl)-;1812247-17-8;
Hexanoic acid, 2,3,4,4,5,5,6,6,6-nonafluoro-2,3-bis(trifluoromethyl)-;1812247-18-9;
Hexanoic acid, 2,3,3,4,5,5,6,6,6-nonafluoro-2,4-bis(trifluoromethyl)-;1812247-19-0;
Pentanoic acid, 2,2,4,4,5,5,5-heptafluoro-3-(1,1,2,2,2-pentafluoroethyl)-3-(trifluoromethyl)-;1882109-67-2;
Pentanoic acid, 2,2,3,4,5,5,5-heptafluoro-3-(1,1,2,2,2-pentafluoroethyl)-4-(trifluoromethyl)-;1882109-68-3;
Pentanoic acid, 3,4,4,5,5,5-hexafluoro-2,2,3-tris(trifluoromethyl)-;1882109-69-4;
Pentanoic acid, 3,3,4,5,5,5-hexafluoro-2,2,4-tris(trifluoromethyl)-;1882109-70-7;
Pentanoic acid, 2,4,4,5,5,5-hexafluoro-2,3,3-tris(trifluoromethyl)-;1882109-71-8;
Heptanoic acid, 2,2,3,3,4,4,5,5,6,7,7,7-dodecafluoro-6-(trifluoromethyl)-, ammonium salt (1:1);19742-57-5;
Heptanoic acid, 2,2,3,3,4,4,5,5,6,7,7,7-dodecafluoro-6-(trifluoromethyl)-, iron salt (1:?);61436-04-2;
Heptanoic acid, 2,2,3,4,4,5,5,6,6,7,7,7-dodecafluoro-3-(trifluoromethyl)-;705240-04-6;
Heptanoic acid, 2,2,3,3,4,4,5,6,6,7,7,7-dodecafluoro-5-(trifluoromethyl)-;909009-42-3;
Octacosane, 1,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8-heptadecafluoro-;137338-39-7;
2-Pentadecanol, 1,1'-[oxybis[(1-methyl-2,1-ethanediyl)oxy]]bis[4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,13,13,14,14,15,15,15-pentacosafluoro- (9CI);93776-00-2;
1-Propanaminium, N-(2-carboxyethyl)-N,N-dimethyl-3-[(4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,13,13,14,14,15,15,15-pentacosafluoro-2-hydroxypentadecyl)amino]-, inner salt;93776-12-6;
Pentanoic acid, 4,4-bis[(γ-ω-perfluoro-C8-20-alkyl)thio] derivs., compds. with diethanolamine;71608-61-2;
2-Propenoic acid, dodecyl ester, polymers with Bu (1-oxo-2-propenyl)carbamate and γ-ω-perfluoro-C18-14-alkyl acrylate;144031-01-6;
2-Propenoic acid, 2-methyl-, 3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,12-heneicosafluorododecyl ester, polymer with 3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heptadecafluorodecyl 2-methyl-2-propenoate, methyl 2-methyl-2-propenoate, 3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,13,13,14,14,14-pentacosafluorotetradecyl 2-methyl-2-propenoate and 3,3,4,4,5,5,6,6,7,7,8,8,8-tridecafluorooctyl 2-methyl-2-propenoate;65104-45-2;
1-Propanaminium, N-(2-hydroxyethyl)-3-[(2-hydroxy-3-sulfopropyl)[(1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluorohexyl)sulfonyl]amino]-N,N-dimethyl-, hydroxide, sodium salt (1:1:1);81190-38-7;
1-Hexanesulfonamide, 1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluoro-N-(2-hydroxyethyl)-N-propyl-;85665-64-1;
Nonene, heptadecafluoro-1-[(2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-pentadecafluorooctyl)oxy]- (9CI);84029-60-7;
2-Propenoic acid, 2-methyl-, 3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heptadecafluorodecyl ester;1996-88-9;
Phosphinic acid, P,P-bis(1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-heptadecafluorooctyl)-;40143-79-1;
1-Nonanol, 2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,9-heptadecafluoro-;423-56-3;
3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,12-Henicosafluorododecyl acrylate;17741-60-5;
3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-Heptadecafluorodec-1-ene;21652-58-4;
3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-Heptadecafluorodecyl acrylate;27905-45-9;
1,2-Tridecanediol, 4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,13,13,13-eicosafluoro-12-(trifluoromethyl)-, 1-(dihydrogen phosphate), diammonium salt (9CI);94200-50-7;
2-Propenoic acid, 3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,13,14,14,14-tetracosafluoro-13-(trifluoromethyl)tetradecyl ester;52956-82-8;
1,2-Pentadecanediol, 4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,13,13,14,15,15,15-tetracosafluoro-14-(trifluoromethyl)-, 1-(dihydrogen phosphate);63295-28-3;
2-Propenoic acid, perfluoro-C8-16-alkyl esters;85681-64-7;
Silane, chloro(3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heptadecafluorodecyl)dimethyl-;74612-30-9;
Ammonium bis(3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heptadecafluorodecyl) phosphate;93776-20-6;
